,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod
3957,280,14,15,17,152,67,348,34,-122,0.0009505009541817991,15,NewGudkova
1684,294,12,187,53,33,33,168,76,-146,0.0023434080612788045,15,NewGudkova
3802,280,12,16,26,167,60,340,40,-134,0.0033908834674418447,15,NewGudkova
1163,292,5,158,82,23,5,68,82,0,0.004179008650609208,15,NewGudkova
2116,286,18,193,10,74,68,188,64,-102,0.004545879782220317,15,NewGudkova
1269,294,8,182,68,27,19,70,70,-8,0.005239472120338289,15,NewGudkova
2474,280,12,15,24,165,62,210,62,-62,0.005602371314099605,15,NewGudkova
2259,283,16,14,3,115,72,196,62,-86,0.005796033299398445,15,NewGudkova
3271,281,6,19,49,186,39,332,58,-154,0.006139839411449655,15,NewGudkova
3263,280,6,18,47,184,42,332,56,-152,0.006877719604337154,15,NewGudkova
3689,291,4,92,85,201,1,336,86,178,0.007348826309798559,15,NewGudkova
2445,280,13,16,21,159,64,208,62,-66,0.007496185172644053,15,NewGudkova
1245,295,10,185,61,30,26,70,64,-12,0.007928567305487588,15,NewGudkova
763,292,16,191,32,45,52,60,40,-34,0.008351571968865441,15,NewGudkova
2292,282,16,14,7,126,71,198,62,-82,0.00891436805675092,15,NewGudkova
2596,280,10,17,35,176,52,218,64,-50,0.009044636918299098,15,NewGudkova
1996,289,17,192,21,55,61,182,66,-114,0.009095133015429297,15,NewGudkova
2954,287,3,28,71,195,18,240,80,-16,0.00922634284868894,15,NewGudkova
3418,280,8,17,39,180,49,334,50,-146,0.009384821082065266,15,NewGudkova
3852,279,12,15,23,163,62,342,38,-130,0.009411491018450053,15,NewGudkova
1473,293,6,175,75,25,12,160,86,-166,0.010415724403709858,15,NewGudkova
3598,280,10,17,34,176,53,336,46,-142,0.010888770595993302,15,NewGudkova
1254,294,10,183,64,29,23,70,66,-10,0.01100118255301611,15,NewGudkova
1734,294,12,189,49,35,37,170,74,-142,0.011121263021338007,15,NewGudkova
1630,294,11,185,57,31,29,166,78,-150,0.011213930030060987,15,NewGudkova
1913,291,16,191,29,46,55,178,68,-122,0.011418807549169945,15,NewGudkova
326,286,17,193,7,81,70,28,28,-74,0.011433964395050228,15,NewGudkova
3279,282,5,20,52,187,37,332,60,-156,0.011533137057653726,15,NewGudkova
1735,293,14,188,47,35,39,170,74,-140,0.01192275213822059,15,NewGudkova
4014,280,15,14,13,144,69,352,32,-116,0.01193474251469017,15,NewGudkova
539,288,17,192,19,58,63,46,32,-52,0.011952569357020461,15,NewGudkova
927,294,15,189,42,38,43,66,48,-24,0.012170528087814715,15,NewGudkova
1023,290,4,92,85,200,1,66,88,4,0.012222179292490209,15,NewGudkova
2323,282,16,15,8,132,71,200,62,-80,0.012699722756215004,15,NewGudkova
3527,289,4,42,79,198,9,334,80,-176,0.012727194524253528,15,NewGudkova
1261,295,8,185,65,28,22,70,68,-10,0.012744509615968734,15,NewGudkova
2816,283,5,21,57,189,32,232,72,-28,0.013060406192308447,15,NewGudkova
2355,281,15,15,12,141,69,202,62,-76,0.013107733905223443,15,NewGudkova
347,286,17,193,8,80,70,30,28,-72,0.013116668546553828,15,NewGudkova
1629,295,10,187,59,30,28,166,78,-152,0.01315507460060108,15,NewGudkova
656,290,17,192,25,50,58,54,36,-42,0.013556287372320562,15,NewGudkova
2385,280,15,15,15,149,67,204,62,-72,0.013723888055152376,15,NewGudkova
3322,285,4,25,65,193,23,332,70,-166,0.013726882039752327,15,NewGudkova
3313,285,4,24,63,192,26,332,68,-164,0.01378843796795573,15,NewGudkova
2781,282,5,19,54,188,35,230,70,-30,0.013827372396413932,15,NewGudkova
2686,280,7,18,44,183,44,224,66,-40,0.014046724642602391,15,NewGudkova
1523,294,8,179,71,27,16,162,84,-162,0.014067454835505441,15,NewGudkova
1779,293,14,189,43,37,43,172,72,-136,0.014091664143958174,15,NewGudkova
464,288,17,193,14,66,66,40,30,-60,0.014105370484695592,15,NewGudkova
560,289,18,192,19,58,62,48,32,-50,0.014255164239097857,15,NewGudkova
2291,283,16,15,5,122,72,198,62,-84,0.014461237703419796,15,NewGudkova
622,289,18,191,23,53,59,52,34,-44,0.014504016984847384,15,NewGudkova
3332,285,3,23,67,194,22,332,72,-166,0.014601033105034023,15,NewGudkova
131,282,17,13,1,109,72,10,28,-94,0.014603818753420286,15,NewGudkova
2417,280,14,15,19,155,65,206,62,-68,0.014798466344504895,15,NewGudkova
1878,292,16,190,35,43,49,176,70,-128,0.014815186207236795,15,NewGudkova
2920,285,3,25,68,194,21,238,78,-18,0.014839221789501653,15,NewGudkova
4093,282,16,15,9,135,70,358,30,-110,0.014905683621153612,15,NewGudkova
1571,294,9,185,64,29,23,164,80,-156,0.015146613799445974,15,NewGudkova
3287,283,5,21,54,189,34,332,62,-158,0.015168478817580185,15,NewGudkova
153,283,17,13,0,106,72,12,28,-92,0.015417924444319676,15,NewGudkova
1062,295,12,189,49,35,37,68,54,-20,0.015558271262353086,15,NewGudkova
3304,284,5,23,60,191,29,332,66,-162,0.015669663873532174,15,NewGudkova
723,291,17,190,29,47,54,58,38,-36,0.015702009637099834,15,NewGudkova
306,285,17,193,6,84,71,26,28,-76,0.015754732004020857,15,NewGudkova
2416,281,14,16,17,153,66,206,62,-70,0.016177334946904813,15,NewGudkova
3528,288,2,32,78,198,11,334,80,-174,0.016199929053686595,15,NewGudkova
368,285,18,192,10,74,68,32,28,-68,0.016246779245209026,15,NewGudkova
2780,282,6,21,52,188,36,230,70,-32,0.016325878694331025,15,NewGudkova
3410,279,9,16,36,177,51,334,48,-144,0.016347667982929755,15,NewGudkova
3722,279,11,15,28,169,58,338,42,-136,0.016454296311684824,15,NewGudkova
3295,283,5,22,57,190,31,332,64,-160,0.016466587611226817,15,NewGudkova
3004,288,4,35,76,197,12,242,84,-12,0.01665232355878873,15,NewGudkova
108,283,17,15,3,116,72,8,28,-98,0.016759192217765194,15,NewGudkova
1277,294,8,178,71,27,16,70,72,-6,0.016862770007334556,15,NewGudkova
2117,285,18,192,8,77,69,188,64,-100,0.017063396623351754,15,NewGudkova
1070,294,12,188,52,33,35,68,56,-18,0.017323782472339993,15,NewGudkova
1284,294,7,180,72,26,15,70,74,-6,0.01735435355298368,15,NewGudkova
860,292,15,189,40,39,45,64,46,-26,0.017498723002640056,15,NewGudkova
3255,280,7,17,44,182,44,332,54,-150,0.017540017735996845,15,NewGudkova
2324,281,16,14,10,136,70,200,62,-78,0.017697402875544114,15,NewGudkova
805,292,16,189,35,43,49,62,42,-30,0.01773547003613464,15,NewGudkova
109,282,17,13,2,112,72,8,28,-96,0.017827104111941976,15,NewGudkova
3323,284,3,22,64,193,25,332,70,-164,0.018165044815831685,15,NewGudkova
2446,279,13,15,22,161,63,208,62,-64,0.018231071906412478,15,NewGudkova
175,284,16,194,0,103,72,14,28,-90,0.01840979177400744,15,NewGudkova
2225,284,16,193,0,104,73,194,62,-90,0.01840979177401347,15,NewGudkova
3591,279,11,16,32,172,55,336,44,-140,0.018691499424153893,15,NewGudkova
1997,288,18,191,20,57,62,182,66,-112,0.01882898104692231,15,NewGudkova
1063,294,13,186,50,34,36,68,54,-18,0.018831346570838556,15,NewGudkova
2502,279,11,15,27,169,59,212,62,-58,0.019116889514698348,15,NewGudkova
3331,285,4,27,68,194,20,332,72,-168,0.019192943823022838,15,NewGudkova
85,283,17,14,4,119,72,6,28,-100,0.019218810550065617,15,NewGudkova
1237,295,10,187,58,31,28,70,62,-14,0.01940281141249519,15,NewGudkova
485,287,18,191,16,63,64,42,30,-56,0.019445321384008254,15,NewGudkova
3721,280,12,17,29,171,57,338,42,-138,0.01945141260904646,15,NewGudkova
3888,280,14,16,21,159,64,344,36,-128,0.01946622646320044,15,NewGudkova
4094,281,16,13,8,131,71,358,30,-108,0.019543840513788713,15,NewGudkova
3519,288,4,37,76,197,12,334,78,-174,0.019597999787381953,15,NewGudkova
3043,289,2,37,81,199,8,244,86,-8,0.019629578047468278,15,NewGudkova
2885,284,4,25,64,192,25,236,76,-22,0.019777743846384453,15,NewGudkova
3051,289,4,50,81,198,7,244,88,-8,0.019996519523273606,15,NewGudkova
935,293,14,188,45,36,41,66,50,-22,0.020028625989851997,15,NewGudkova
1912,292,16,192,31,45,53,178,68,-124,0.020054807758487836,15,NewGudkova
2662,280,9,19,41,180,47,222,66,-44,0.020076676131002537,15,NewGudkova
484,288,18,193,15,65,65,42,30,-58,0.020172635038215737,15,NewGudkova
3340,285,3,24,70,194,19,332,74,-168,0.020601955718350943,15,NewGudkova
2258,284,16,15,1,110,72,196,62,-88,0.020638883448812144,15,NewGudkova
348,285,18,192,9,76,69,30,28,-70,0.02068910983562031,15,NewGudkova
388,286,18,192,11,73,68,34,28,-66,0.020793033309027303,15,NewGudkova
130,284,17,15,2,114,72,10,28,-96,0.020901083726546036,15,NewGudkova
2743,281,5,18,50,187,39,228,68,-34,0.020932184110308047,15,NewGudkova
1879,291,17,189,33,44,51,176,70,-126,0.020955620773113165,15,NewGudkova
367,287,18,194,9,78,69,32,28,-70,0.021087264967557647,15,NewGudkova
1683,295,11,189,55,32,32,168,76,-148,0.02115994821543725,15,NewGudkova
1472,294,5,178,77,25,11,160,86,-168,0.021227984798373515,15,NewGudkova
1685,294,13,186,51,33,35,168,76,-144,0.02134623824173551,15,NewGudkova
3670,291,4,65,84,200,4,336,84,-180,0.021347653529972588,15,NewGudkova
2720,281,7,20,46,184,41,226,68,-38,0.021409101195258337,15,NewGudkova
1055,294,14,188,47,36,38,68,52,-20,0.02142321706844938,15,NewGudkova
285,285,17,193,5,86,71,24,28,-78,0.021534435917514024,15,NewGudkova
13,283,16,15,8,133,71,0,30,-108,0.021630280091775107,15,NewGudkova
852,293,16,190,37,41,47,64,44,-28,0.021798489865148585,15,NewGudkova
3927,281,13,16,20,159,65,346,36,-126,0.021865347983343577,15,NewGudkova
197,284,17,194,0,101,72,16,28,-88,0.021871989094357114,15,NewGudkova
1170,292,4,158,84,23,4,68,84,0,0.022023726022584834,15,NewGudkova
804,293,15,192,34,44,50,62,42,-32,0.022314643436837495,15,NewGudkova
2996,288,2,28,75,197,14,242,82,-12,0.022615724362099913,15,NewGudkova
1262,294,9,180,66,28,20,70,68,-8,0.022730301271786695,15,NewGudkova
1276,295,7,184,70,27,18,70,72,-8,0.02281993114345314,15,NewGudkova
