,AZT,DPT,AZN,DPN,AZP,DPP,Strike,Dip,Rake,Misfit,Depth,Mod
2043,288,18,192,18,61,63,184,66,-110,0.022859354126736935,15,NewGudkova
2384,282,15,16,14,146,68,204,62,-74,0.02288936920183727,15,NewGudkova
4013,282,15,16,14,147,68,352,32,-118,0.02306767988961458,15,NewGudkova
3889,279,13,14,20,157,65,344,36,-126,0.023155432259816325,15,NewGudkova
2850,283,4,22,61,191,28,234,74,-24,0.023168868093529627,15,NewGudkova
859,293,14,191,39,39,46,64,46,-28,0.02339992235558281,15,NewGudkova
1230,295,11,186,57,32,30,70,60,-14,0.023451129688639577,15,NewGudkova
2721,280,6,18,48,184,40,226,68,-36,0.02353649886025188,15,NewGudkova
1572,294,10,183,62,29,25,164,80,-154,0.023559317869943266,15,NewGudkova
684,291,17,192,26,50,57,56,36,-40,0.0235658993637219,15,NewGudkova
465,286,18,191,15,63,65,40,30,-58,0.023741010435270018,15,NewGudkova
1171,292,5,139,83,23,2,68,84,2,0.023821243172497956,15,NewGudkova
595,288,17,191,22,53,60,50,34,-46,0.02392743562491861,15,NewGudkova
2955,286,2,25,72,195,16,240,80,-14,0.024042755080595588,15,NewGudkova
2260,281,16,13,5,120,72,196,62,-84,0.024132865419826198,15,NewGudkova
2075,287,17,193,14,65,67,186,64,-106,0.024153207189459083,15,NewGudkova
2623,280,8,17,38,179,50,220,64,-46,0.024176860267673,15,NewGudkova
2076,286,17,192,12,68,67,186,64,-104,0.024179757386179734,15,NewGudkova
14,281,15,13,7,129,72,0,30,-106,0.02423374830731095,15,NewGudkova
2226,282,16,13,1,108,72,194,62,-88,0.024277345012573052,15,NewGudkova
2115,288,17,194,12,70,67,188,64,-104,0.024361438361150428,15,NewGudkova
1780,292,15,188,41,38,44,172,72,-134,0.024398101021875056,15,NewGudkova
2156,285,18,193,7,83,69,190,64,-98,0.024534470254013254,15,NewGudkova
3314,284,3,21,61,192,27,332,68,-162,0.02455593856562483,15,NewGudkova
1995,290,17,193,23,53,60,182,66,-116,0.024568117410264618,15,NewGudkova
4046,281,14,14,12,142,70,354,32,-114,0.02458207837177393,15,NewGudkova
1238,295,11,184,59,31,27,70,62,-12,0.024635827999526096,15,NewGudkova
2571,279,11,17,33,174,54,216,64,-52,0.024666369906584953,15,NewGudkova
1778,294,13,190,44,37,41,172,72,-138,0.024797329138252226,15,NewGudkova
934,294,13,190,44,37,42,66,50,-24,0.024837315384597727,15,NewGudkova
86,281,17,13,3,114,72,6,28,-98,0.024838995440015256,15,NewGudkova
2356,280,15,14,14,144,68,202,62,-74,0.025019937597399875,15,NewGudkova
2473,281,13,17,22,163,63,210,62,-64,0.025054892992008245,15,NewGudkova
1253,295,8,187,63,29,24,70,66,-12,0.02506037470726808,15,NewGudkova
722,292,16,192,29,48,55,58,38,-38,0.025072656365722496,15,NewGudkova
2663,279,8,17,42,181,46,222,66,-42,0.025112954424704688,15,NewGudkova
220,285,17,194,1,98,72,18,28,-86,0.02512788518183797,15,NewGudkova
3851,281,13,17,24,164,61,342,38,-132,0.025238349089051586,15,NewGudkova
1155,292,5,169,79,23,8,68,80,-2,0.02524429010171316,15,NewGudkova
2501,280,12,16,26,168,60,212,62,-60,0.02534524277728516,15,NewGudkova
1914,289,17,190,27,48,56,178,68,-120,0.0253456771841705,15,NewGudkova
621,290,17,193,22,55,60,52,34,-46,0.02544121320610531,15,NewGudkova
2475,278,12,14,26,166,60,210,62,-60,0.02560101698332505,15,NewGudkova
441,287,17,193,13,67,67,38,30,-62,0.026011908879561837,15,NewGudkova
3536,288,2,37,81,198,8,334,82,-176,0.026055924740640054,15,NewGudkova
2919,286,5,28,66,194,22,238,78,-20,0.026350629736591434,15,NewGudkova
3688,291,5,111,84,201,0,336,86,176,0.02652612331483147,15,NewGudkova
3426,281,8,18,41,182,46,334,52,-148,0.026602799129108866,15,NewGudkova
1292,294,7,176,75,26,12,70,76,-4,0.026634467335955214,15,NewGudkova
1524,294,9,178,69,27,18,162,84,-160,0.026705683177434908,15,NewGudkova
4065,282,16,15,10,137,70,356,30,-112,0.026743341697878606,15,NewGudkova
265,284,17,193,4,88,72,22,28,-80,0.026997470542574314,15,NewGudkova
2849,284,5,24,59,190,29,234,74,-26,0.027057458172371925,15,NewGudkova
1024,291,5,84,83,200,2,66,88,6,0.027358241947777553,15,NewGudkova
812,292,15,190,36,40,48,62,44,-30,0.02743017673259453,15,NewGudkova
152,284,17,15,1,111,72,12,28,-94,0.02767615478953227,15,NewGudkova
2570,280,11,18,31,173,55,216,64,-54,0.02781128316011636,15,NewGudkova
2354,283,16,16,10,138,70,202,62,-78,0.027875820507886877,15,NewGudkova
58,282,17,14,5,121,71,4,28,-102,0.028043127431612663,15,NewGudkova
242,285,17,194,2,95,72,20,28,-84,0.028056077365192042,15,NewGudkova
3417,281,9,19,40,180,47,334,50,-148,0.02819444230909113,15,NewGudkova
1522,295,6,182,72,27,15,162,84,-164,0.028226604733991335,15,NewGudkova
3262,281,7,20,48,185,40,332,56,-154,0.02825401699348499,15,NewGudkova
1964,290,18,191,25,51,57,180,68,-118,0.02825872326656328,15,NewGudkova
594,290,17,193,21,54,61,50,34,-48,0.02836921788329204,15,NewGudkova
3520,288,2,29,75,197,14,334,78,-172,0.028401930557823103,15,NewGudkova
2042,290,18,193,20,59,62,184,66,-112,0.02840218343352055,15,NewGudkova
1963,291,17,192,27,50,56,180,68,-120,0.028486798293375554,15,NewGudkova
1877,294,15,192,37,42,48,176,70,-130,0.028741087018974598,15,NewGudkova
1156,292,7,158,80,23,7,68,80,0,0.02879365296042211,15,NewGudkova
4045,282,15,16,13,146,69,354,32,-116,0.02880428313818544,15,NewGudkova
4066,280,16,13,9,133,70,356,30,-110,0.028866490231608994,15,NewGudkova
3680,291,2,65,86,200,2,336,86,-180,0.02890361158800898,15,NewGudkova
327,284,17,191,8,78,70,28,28,-72,0.02891930192918426,15,NewGudkova
3991,281,14,15,16,152,68,350,34,-120,0.02907343286275408,15,NewGudkova
1483,294,7,169,77,25,9,160,88,-168,0.029218323692877156,15,NewGudkova
693,290,16,190,29,46,55,56,38,-38,0.029334781740585212,15,NewGudkova
1570,295,7,187,65,28,22,164,80,-158,0.029791457632332458,15,NewGudkova
3270,282,7,21,50,186,38,332,58,-156,0.029929537280756563,15,NewGudkova
3339,286,4,29,71,194,18,332,74,-170,0.029975820858044178,15,NewGudkova
3983,280,15,14,14,145,68,350,32,-118,0.03004652312206639,15,NewGudkova
3305,283,3,20,59,191,30,332,66,-160,0.030049514395694494,15,NewGudkova
1474,293,8,173,73,25,14,160,86,-164,0.030093963385085794,15,NewGudkova
3535,289,4,49,81,198,7,334,82,-178,0.030334937285027796,15,NewGudkova
1822,292,15,190,37,40,48,174,70,-130,0.030396612327142584,15,NewGudkova
657,289,17,190,26,48,57,54,36,-40,0.030554301078329613,15,NewGudkova
2155,287,18,194,8,79,69,190,64,-100,0.030656566490005897,15,NewGudkova
2444,282,14,17,19,157,65,208,62,-68,0.030722741266390362,15,NewGudkova
2293,280,16,13,8,130,71,198,62,-80,0.0307670932691782,15,NewGudkova
264,286,17,194,3,93,72,22,28,-82,0.030797376047619236,15,NewGudkova
2687,279,6,16,46,183,43,224,66,-38,0.030813497867407662,15,NewGudkova
3254,281,8,19,45,183,43,332,54,-152,0.030888763452233896,15,NewGudkova
561,288,18,190,20,56,61,48,32,-48,0.031062647531390698,15,NewGudkova
3920,280,14,15,18,153,66,346,34,-124,0.031079460209526892,15,NewGudkova
2386,279,14,14,17,151,66,204,62,-70,0.03111159872846892,15,NewGudkova
3409,280,10,18,38,177,50,334,48,-146,0.031115053973647416,15,NewGudkova
1733,295,11,190,51,34,36,170,74,-144,0.031171111569064394,15,NewGudkova
3803,278,11,14,25,166,61,340,40,-132,0.031184195361279702,15,NewGudkova
2224,285,16,194,1,99,72,194,62,-92,0.031245091841300705,15,NewGudkova
1821,293,14,191,38,39,47,174,70,-132,0.03138311865637144,15,NewGudkova
1631,293,12,184,56,31,30,166,78,-148,0.031516920790908655,15,NewGudkova
1736,292,15,187,45,36,40,170,74,-138,0.0316157275900248,15,NewGudkova
2876,284,3,21,63,193,26,236,74,-22,0.031635188760730036,15,NewGudkova
3247,279,8,16,41,180,46,332,52,-148,0.031678837212612346,15,NewGudkova
1078,293,12,186,54,31,32,68,58,-16,0.031721994647096505,15,NewGudkova
243,284,17,192,3,91,72,20,28,-82,0.03174798823149062,15,NewGudkova
2322,284,16,16,7,128,71,200,62,-82,0.03186807147441113,15,NewGudkova
411,286,19,192,11,72,67,36,28,-64,0.03211837765324401,15,NewGudkova
387,287,18,194,10,76,68,34,28,-68,0.03212973481463618,15,NewGudkova
2817,282,4,19,58,189,30,232,72,-26,0.03220030188465228,15,NewGudkova
1285,294,8,174,73,26,14,70,74,-4,0.03234354577674915,15,NewGudkova
2685,281,8,19,42,183,46,224,66,-42,0.03237852301066166,15,NewGudkova
1222,295,12,188,54,33,32,70,58,-16,0.032720407604069676,15,NewGudkova
509,287,19,191,17,62,63,44,30,-54,0.03279293516836566,15,NewGudkova
2044,287,19,191,16,63,64,184,66,-108,0.0328678593894759,15,NewGudkova
1583,295,9,183,66,29,21,164,82,-158,0.03296780053313547,15,NewGudkova
3730,280,10,16,31,174,56,338,44,-138,0.03300681815787046,15,NewGudkova
2886,284,3,22,65,192,23,236,76,-20,0.033011647334665904,15,NewGudkova
3278,283,7,23,53,188,35,332,60,-158,0.03323953848317276,15,NewGudkova
3956,282,14,17,18,155,66,348,34,-124,0.033245382147791165,15,NewGudkova
3599,279,9,15,33,175,54,336,46,-140,0.03330797642578924,15,NewGudkova
3729,281,11,18,32,174,55,338,44,-140,0.03340727580826965,15,NewGudkova
1246,294,11,181,62,30,24,70,64,-10,0.03342972409730114,15,NewGudkova
1054,295,13,191,46,36,40,68,52,-22,0.033558427000733346,15,NewGudkova
284,286,17,195,4,90,72,24,28,-80,0.033643608055592335,15,NewGudkova
1835,293,16,189,39,41,45,174,72,-132,0.03367374824940646,15,NewGudkova
926,295,14,192,41,39,44,66,48,-26,0.03381227458011226,15,NewGudkova
1229,296,10,189,56,32,31,70,60,-16,0.033836312199824865,15,NewGudkova
3296,283,4,19,56,190,33,332,64,-158,0.03386259386446069,15,NewGudkova
1162,292,4,172,81,23,7,68,82,-2,0.03389112616095308,15,NewGudkova
1071,293,13,185,52,32,33,68,56,-16,0.03394350848286749,15,NewGudkova
2995,288,4,32,73,197,15,242,82,-14,0.033965180939829455,15,NewGudkova
2157,284,18,192,5,87,70,190,64,-96,0.03403467930646342,15,NewGudkova
2744,281,4,17,51,187,37,228,68,-32,0.034059969251309816,15,NewGudkova
2186,283,16,192,1,97,72,192,62,-92,0.034331552386398574,15,NewGudkova
1628,296,8,189,61,30,26,166,78,-154,0.03433772537553537,15,NewGudkova
1016,290,5,110,84,20,0,66,86,4,0.03436387357359196,15,NewGudkova
59,281,17,12,4,117,72,4,28,-100,0.03448942358080945,15,NewGudkova
2815,283,6,23,55,189,33,232,72,-30,0.034672649506974254,15,NewGudkova
1268,295,7,187,67,28,20,70,70,-10,0.03473461549028119,15,NewGudkova
2185,284,16,193,3,92,72,192,62,-94,0.03474190992842665,15,NewGudkova
174,285,17,15,0,108,72,14,28,-92,0.03478606488382883,15,NewGudkova
2530,280,10,16,29,172,58,214,62,-56,0.03481678415378017,15,NewGudkova
540,287,18,190,19,56,62,46,32,-50,0.03490360258087564,15,NewGudkova
1510,294,6,185,70,26,18,162,82,-162,0.03492523217843634,15,NewGudkova
685,290,18,190,27,49,55,56,36,-38,0.035066116384864926,15,NewGudkova
1148,292,7,167,77,23,9,68,78,-2,0.03512994752042536,15,NewGudkova
3928,279,13,14,19,157,66,346,36,-124,0.03523182959575938,15,NewGudkova
3958,279,14,13,16,150,68,348,34,-120,0.035265160468384835,15,NewGudkova
2595,281,11,19,33,176,54,218,64,-52,0.03537289440387022,15,NewGudkova
730,291,15,191,31,44,53,58,40,-36,0.035514851524175314,15,NewGudkova
1834,294,15,190,41,40,44,174,72,-134,0.035533791271325235,15,NewGudkova
1270,294,9,177,69,27,18,70,70,-6,0.035571863549058336,15,NewGudkova
3005,287,2,31,78,197,11,242,84,-10,0.035571927975962106,15,NewGudkova
2624,279,7,15,40,180,48,220,64,-44,0.035590501232300155,15,NewGudkova
1584,295,10,181,64,29,22,164,82,-156,0.035597161964514144,15,NewGudkova
3511,288,4,33,73,197,15,334,76,-172,0.035633956716464396,15,NewGudkova
221,283,17,192,2,93,72,18,28,-84,0.03575492663860205,15,NewGudkova
516,288,17,192,18,58,64,44,32,-54,0.03577795545155753,15,NewGudkova
772,291,15,190,34,42,50,60,42,-32,0.03583524092992708,15,NewGudkova
2531,279,9,15,31,173,56,214,62,-54,0.0358448780202026,15,NewGudkova
1164,292,7,143,81,23,4,68,82,2,0.0358777416147022,15,NewGudkova
692,291,16,192,28,47,56,56,38,-40,0.03589436418948138,15,NewGudkova
3592,278,10,14,31,172,56,336,44,-138,0.03594417033173103,15,NewGudkova
2290,285,16,16,3,117,72,198,62,-86,0.03597207154023229,15,NewGudkova
40,283,15,15,7,131,72,2,30,-106,0.03599413393930705,15,NewGudkova
41,282,15,14,6,127,72,2,30,-104,0.036003718000364615,15,NewGudkova
3288,282,4,18,53,189,35,332,62,-156,0.0360415929495364,15,NewGudkova
3286,284,6,24,56,189,33,332,62,-160,0.03641909010158802,15,NewGudkova
1291,295,5,183,74,26,14,70,76,-6,0.03642158874948461,15,NewGudkova
2842,283,3,19,60,191,29,234,72,-24,0.03652051297683726,15,NewGudkova
538,290,17,194,18,60,64,46,32,-54,0.036615436132747495,15,NewGudkova
1178,292,4,131,85,22,1,68,86,2,0.03665536712145221,15,NewGudkova
2418,278,13,14,21,157,64,206,62,-66,0.036743042127040465,15,NewGudkova
3050,289,5,52,79,198,8,244,88,-10,0.036759296391596245,15,NewGudkova
3605,281,9,18,36,179,51,336,48,-144,0.03693555462215808,15,NewGudkova
305,287,17,195,5,88,71,26,28,-78,0.036975512265771435,15,NewGudkova
2503,278,10,14,29,170,58,212,62,-56,0.037002285029234874,15,NewGudkova
3280,281,4,17,51,187,38,332,60,-154,0.037061494985606104,15,NewGudkova
2074,289,17,194,16,63,66,186,64,-108,0.03709764643987319,15,NewGudkova
2912,285,2,21,67,194,22,238,76,-18,0.0372352337582706,15,NewGudkova
2077,284,18,191,10,72,68,186,64,-102,0.03734988315126775,15,NewGudkova
3425,282,9,20,43,183,45,334,52,-150,0.037452616034257515,15,NewGudkova
3801,281,13,18,27,168,59,340,40,-136,0.037503124654538596,15,NewGudkova
3698,291,4,129,85,21,1,336,88,176,0.03751130669638782,15,NewGudkova
307,284,17,191,7,79,70,26,28,-74,0.03756818260361456,15,NewGudkova
3896,281,12,17,23,165,62,344,38,-130,0.037571233104278186,15,NewGudkova
1244,296,8,189,60,30,27,70,64,-14,0.0376087151898416,15,NewGudkova
2415,282,15,17,15,151,67,206,62,-72,0.0376158172271728,15,NewGudkova
2118,283,18,191,7,81,69,188,64,-98,0.0377542506283783,15,NewGudkova
1998,286,18,190,18,59,63,182,66,-110,0.037762998716396996,15,NewGudkova
3272,280,5,16,48,186,41,332,58,-152,0.03784051760309769,15,NewGudkova
2742,282,6,20,48,186,40,228,68,-36,0.03789741691753644,15,NewGudkova
508,289,18,193,16,65,64,44,30,-56,0.038153276308436054,15,NewGudkova
1911,293,15,193,33,44,52,178,68,-126,0.0382600077965035,15,NewGudkova
813,291,16,188,37,39,47,62,44,-28,0.03826859255015681,15,NewGudkova
1482,294,5,171,79,25,8,160,88,-170,0.03838175657159625,15,NewGudkova
928,292,16,187,43,38,42,66,48,-22,0.03839558854122646,15,NewGudkova
442,286,17,191,14,64,66,38,30,-60,0.03839736275076814,15,NewGudkova
1880,290,18,188,31,45,52,176,70,-124,0.03841512150661225,15,NewGudkova
3597,281,11,19,35,177,52,336,46,-144,0.03847452173384974,15,NewGudkova
1484,293,8,167,75,25,11,160,88,-166,0.038509387653691475,15,NewGudkova
3809,281,11,17,28,171,58,340,42,-136,0.03852911781783147,15,NewGudkova
3294,284,6,25,58,190,30,332,64,-162,0.03880677878536105,15,NewGudkova
2325,279,15,13,12,139,69,200,62,-76,0.038987286028686965,15,NewGudkova
762,293,15,193,31,46,53,60,40,-36,0.039094188086241946,15,NewGudkova
198,283,17,192,1,96,72,16,28,-86,0.03913075300873132,15,NewGudkova
3003,288,5,39,74,197,14,242,84,-14,0.039142663676047414,15,NewGudkova
2841,284,4,21,58,191,30,234,72,-26,0.03922621566443951,15,NewGudkova
3246,280,9,18,43,181,45,332,52,-150,0.039294889721314695,15,NewGudkova
1512,293,9,181,66,27,21,162,82,-158,0.039318080150533355,15,NewGudkova
942,293,13,189,46,34,40,66,52,-22,0.039381506990740424,15,NewGudkova
3982,281,15,16,15,147,67,350,32,-120,0.03945691690260679,15,NewGudkova
3402,278,10,15,34,174,53,334,46,-142,0.03960955518036635,15,NewGudkova
851,294,15,192,36,42,48,64,44,-30,0.03962667931720278,15,NewGudkova
3778,292,7,144,81,23,4,338,88,172,0.03972561220850223,15,NewGudkova
3264,279,5,16,45,184,43,332,56,-150,0.03976833936813154,15,NewGudkova
1439,292,4,171,81,23,7,158,88,-172,0.04000340079266722,15,NewGudkova
3671,291,2,47,83,200,5,336,84,-178,0.04008550004998981,15,NewGudkova
